Participant,PP,Word,Wcode,Cond,PresentedSentenceDuringTest,KeyPressed,RT,TrialNum,WordPresentationNum,SentenceType,ResponseMirrored,Accuracy,Confidence,ConfidenceForCorrectResponses,Familiarity,Fit
3,3,chanjo,S71,context,Hij neemte een stuk chanjo als tussendoortje.,1,15.9107282012,1,1,UnfamiliarNoFit,6,TRUE,3,3,FALSE,FALSE
3,3,memo,S50,context,Bij het scrabble spel moet je steeds een memo verzinnen.,6,4.9091041999,2,1,FamiliarFit,6,TRUE,3,3,TRUE,TRUE
3,3,wivu,S56,context,Bij jonge kinderen die een broertje of zusje krijgen ontstaat soms wivu omdat de baby veel aandacht krijgt.,6,8.33454620206,3,1,UnfamiliarFit,6,TRUE,3,3,FALSE,TRUE
3,3,panya,S53,retrieval,Zij keek door de panya naar het stromende water.,1,5.38420085905,4,1,UnfamiliarNoFit,6,TRUE,3,3,FALSE,FALSE
3,3,koti,S91,context,Met een koti verplaatste hij al zijn spullen.,1,8.98466076156,5,1,UnfamiliarNoFit,6,TRUE,3,3,FALSE,FALSE
3,3,meza,S44,context,De meza zingt mooi.,1,4.88413580468,6,1,UnfamiliarNoFit,6,TRUE,3,3,FALSE,FALSE
3,3,dhoruba,S76,context,De dhoruba zit op zijn troon.,1,6.1926463869,7,1,FamiliarNoFit,6,TRUE,3,3,TRUE,FALSE
3,3,tumaini,S12,retrieval,Morgen gaat hij voor twee weken naar de tumaini.,2,30.8963321818,8,1,UnfamiliarNoFit,5,TRUE,2,2,FALSE,FALSE
3,3,sauti,S6,retrieval,"Het bezoek was onverwacht, maar ik vond het een fijne sauti.",1,9.37639350211,9,1,FamiliarNoFit,6,TRUE,3,3,TRUE,FALSE
3,3,basila,S72,context,De chauffeur van de basila stopt alleen als er iemand bij de halte staat.,6,7.62618093105,10,1,FamiliarFit,6,TRUE,3,3,TRUE,TRUE
3,3,tumbili,S13,retrieval,Mijn tumbili houdt erg van winkelen.,6,4.20901068251,11,1,UnfamiliarNoFit,1,FALSE,3,,FALSE,FALSE
3,3,paka,S52,retrieval,De paka loopt door de tuin.,6,6.90941684928,12,1,UnfamiliarFit,6,TRUE,3,3,FALSE,TRUE
3,3,maji,S49,context,We kunnen pas douchen en afwassen wanneer er weer maji is.,5,8.90963101548,13,1,FamiliarFit,5,TRUE,2,2,TRUE,TRUE
3,3,tabibu,S10,context,"Ik voel me al een week slecht, misschien moet ik toch naar de tabibu.",6,5.54248799546,14,1,FamiliarFit,6,TRUE,3,3,TRUE,TRUE
3,3,barafu,S37,context,Wij mochten nog niet schaatsen op het barafu.,6,4.24220228331,15,1,FamiliarFit,6,TRUE,3,3,TRUE,TRUE
3,3,siri,S8,retrieval,Naast het siri zijn er nog andere dieren.,1,3.5922408582,16,1,UnfamiliarNoFit,6,TRUE,3,3,FALSE,FALSE
3,3,kaputula,S74,context,Gouda is lekkere kaputula.,1,6.82607595632,17,1,FamiliarNoFit,6,TRUE,3,3,TRUE,FALSE
3,3,hewa,S75,context,Door de industrie is de hewa vervuild.,5,10.4182776987,18,1,UnfamiliarFit,5,TRUE,2,2,FALSE,TRUE
3,3,zamani,S54,context,Het zamani is zacht en rond.,2,16.2107944762,19,1,UnfamiliarNoFit,5,TRUE,2,2,FALSE,FALSE
3,3,goti,S88,context,Ik ben aan mijn goti geopereerd.,6,2.55028980405,20,1,FamiliarFit,6,TRUE,3,3,TRUE,TRUE
3,3,ndege,S96,retrieval,In het ndege mag je tijdens het landen geen mobiel gebruiken.,6,3.11713337977,21,1,FamiliarFit,6,TRUE,3,3,TRUE,TRUE
3,3,shukuru,S65,context,Welke shukuru wil jij? Zowel de rode als de groene smaken lekker.,1,5.37586696395,22,1,FamiliarNoFit,6,TRUE,3,3,TRUE,FALSE
3,3,chunga,S73,retrieval,Deze muur werd gisteren geverfd. Wat vind je van de chunga?,1,11.2183507704,23,1,FamiliarNoFit,6,TRUE,3,3,TRUE,FALSE
3,3,simu,S100,retrieval,"Het is hier vies en smerig, er moet eindelijk iemand het simu opruimen!",1,4.55907949589,24,1,FamiliarNoFit,6,TRUE,3,3,TRUE,FALSE
3,3,maumiva,S40,context,Bij de begroeting geeft ze me een maumiva.,1,5.65090297966,25,1,FamiliarNoFit,6,TRUE,3,3,TRUE,FALSE
3,3,upinde,S99,retrieval,"Wanneer het regent en de zon schijnt, zoek ik altijd naar een upinde.",6,3.58384093776,26,1,FamiliarFit,6,TRUE,3,3,TRUE,TRUE
3,3,upinde,S99,retrieval,Deze stiften moeten opgeborgen worden in de upinde.,1,4.37571244247,27,2,UnfamiliarNoFit,6,TRUE,3,3,FALSE,FALSE
3,3,kidonda,S39,context,Zij zorgt dat de kidonda goed schoon is om ontstekingen te voorkomen.,6,12.4186194769,28,1,UnfamiliarFit,6,TRUE,3,3,FALSE,TRUE
3,3,kofia,S33,context,Ik draag een kofia tegen de zon.,6,2.59204555637,29,1,FamiliarFit,6,TRUE,3,3,TRUE,TRUE
3,3,barua,S93,context,De barua heeft veel schade veroorzaakt. Talloze bomen vielen om.,1,3.05886269422,30,1,FamiliarNoFit,6,TRUE,3,3,TRUE,FALSE
3,3,pamba,S98,context,Ze breit een sjaal van fijne pamba.,6,6.95942743275,31,1,FamiliarFit,6,TRUE,3,3,TRUE,TRUE
3,3,uchafu,S19,retrieval,De uchafu snort.,1,2.87532253237,32,1,FamiliarNoFit,6,TRUE,3,3,TRUE,FALSE
3,3,wazo,S107,retrieval,Het wazo voor zijn nieuwe boek kreeg hij tijdens het reizen.,5,5.62589657825,33,1,UnfamiliarFit,5,TRUE,2,2,FALSE,TRUE
3,3,saduku,S15,retrieval,Tijdens de optocht kwam er een mooie saduku voorbij.,2,7.38450712782,34,1,UnfamiliarNoFit,5,TRUE,2,2,FALSE,FALSE
3,3,baskeli,S55,context,De baskeli is een populair vervoersmiddel in Nederland.,6,4.02565528063,35,1,UnfamiliarFit,6,TRUE,3,3,FALSE,TRUE
3,3,mshangao,S77,retrieval,In het pakketje zit een mshangao voor hem.,5,5.55922070133,36,1,UnfamiliarFit,5,TRUE,2,2,FALSE,TRUE
3,3,fasihi,S70,retrieval,Het fasihi genoot van de zon.,3,25.562276731,37,1,UnfamiliarNoFit,4,TRUE,1,1,FALSE,FALSE
3,3,ndege,S96,retrieval,In haar ndege zitten zakken.,1,3.23388031716,38,2,UnfamiliarNoFit,6,TRUE,3,3,FALSE,FALSE
3,3,godoro,S87,retrieval,Kleine kinderen springen graag op een godoro.,6,9.20141499502,39,1,UnfamiliarFit,6,TRUE,3,3,FALSE,TRUE
3,3,mguu,S46,context,Ik schop de bal met mijn mguu.,6,3.55892247766,40,1,UnfamiliarFit,6,TRUE,3,3,FALSE,TRUE
3,3,chikiru,S45,retrieval,De chikiru zorgt voor zijn jongen.,6,11.1935130388,41,1,UnfamiliarFit,6,TRUE,3,3,FALSE,TRUE
3,3,keja,S27,retrieval,Het dak lag bezaaid met keja.,1,8.80133504333,42,1,UnfamiliarNoFit,6,TRUE,3,3,FALSE,FALSE
3,3,baridi,S94,context,In de baridi is de kans op kou en sneeuw groter.,6,5.0174695264,43,1,FamiliarFit,6,TRUE,3,3,TRUE,TRUE
3,3,dhoruba,S76,context,Wij kochten de dhoruba op de markt.,1,2.2919831652,44,2,UnfamiliarNoFit,6,TRUE,3,3,FALSE,FALSE
3,3,mchuma,S43,retrieval,Mijn mchuma past niet in deze kleine schoen.,1,4.61741842612,45,1,FamiliarNoFit,6,TRUE,3,3,TRUE,FALSE
3,3,mchuma,S43,retrieval,De papegaai speelt graag met een mchuma van zijn baasje.,1,7.61786035198,46,2,UnfamiliarNoFit,6,TRUE,3,3,FALSE,FALSE
3,3,maziwa,S41,retrieval,Ik doe wat maziwa in mijn koffie. Ik hou niet van zwarte koffie.,6,8.85140471671,47,1,FamiliarFit,6,TRUE,3,3,TRUE,TRUE
3,3,ufu,S34,retrieval,Iedereen reageerde geschokt op zijn ufu omdat hij zo plotseling is overleden.,6,4.03393008583,48,1,FamiliarFit,6,TRUE,3,3,TRUE,TRUE
3,3,maliki,S38,context,De maliki zit op zijn troon.,6,2.00866346694,49,1,FamiliarFit,6,TRUE,3,3,TRUE,TRUE
3,3,baskeli,S55,context,Ik ben aan mijn baskeli geopereerd.,1,2.88379735549,50,2,FamiliarNoFit,6,TRUE,3,3,TRUE,FALSE
3,3,maji,S49,context,Het maji is een uitvinding van afgelopen jaar.,1,4.52566956762,51,2,UnfamiliarNoFit,6,TRUE,3,3,FALSE,FALSE
3,3,ramani,S108,context,Wij hebben in de auto altijd een ramani liggen voor het geval dat het navigatie apparaat niet werkt.,6,7.09287683751,52,1,UnfamiliarFit,6,TRUE,3,3,FALSE,TRUE
3,3,ajabu,S58,context,De uitleg was duidelijk. Daardoor had niemand een ajabu.,2,6.63438083357,53,1,FamiliarNoFit,5,TRUE,2,2,TRUE,FALSE
3,3,koti,S91,context,Er zit een vlek op zijn koti.,5,32.4465914699,54,2,UnfamiliarFit,5,TRUE,2,2,FALSE,TRUE
3,3,chikiru,S45,retrieval,In het chikiru draait een toneelvoorstelling.,1,3.40888989499,55,2,FamiliarNoFit,6,TRUE,3,3,TRUE,FALSE
3,3,jibini,S92,retrieval,Hij was zo druk bezig met zijn opdracht dat hij niet niet in de gaten had dat de jibini voorbij liep.,1,7.17613561493,56,1,UnfamiliarNoFit,6,TRUE,3,3,FALSE,FALSE
3,3,tumaini,S12,retrieval,De chauffeur van de tumaini stopt alleen als er iemand bij de halte staat.,1,3.90892249153,57,2,FamiliarNoFit,6,TRUE,3,3,TRUE,FALSE
3,3,barua,S93,context,Ik heb een barua gekregen van mijn neefje.,5,18.2278426056,58,2,UnfamiliarFit,5,TRUE,2,2,FALSE,TRUE
3,3,likizo,S35,retrieval,Tijdens de wandeling zag hij een mooie likizo.,1,3.6755953446,59,1,UnfamiliarNoFit,6,TRUE,3,3,FALSE,FALSE
3,3,barafu,S37,context,Kijk eens door het raam! Daar staat een barafu.,1,3.77559958909,60,2,UnfamiliarNoFit,6,TRUE,3,3,FALSE,FALSE
3,3,bamba,S47,context,In dit bamba kun je ook groenten kopen.,1,10.4516188274,61,1,UnfamiliarNoFit,6,TRUE,3,3,FALSE,FALSE
3,3,pombe,S31,retrieval,"De pombe is vol met sterren, mooi!",1,2.3254175062,62,1,FamiliarNoFit,6,TRUE,3,3,TRUE,FALSE
3,3,tabibu,S10,context,Hongarije kun je vinden op de tabibu.,1,3.30888620534,63,2,FamiliarNoFit,6,TRUE,3,3,TRUE,FALSE
3,3,rangi,S2,context,Geef de rangi niet op! Ik weet dat je het kunt!,1,3.7672834487,64,1,FamiliarNoFit,6,TRUE,3,3,TRUE,FALSE
3,3,anga,S59,context,Ik hoop dat ik naar de anga ga.,6,4.10892876116,65,1,UnfamiliarFit,6,TRUE,3,3,FALSE,TRUE
3,3,mbwa,S42,context,In het park zag ik een mooie mwba.,6,5.10907745687,66,1,UnfamiliarFit,6,TRUE,3,3,FALSE,TRUE
3,3,taa,S97,retrieval,De man heeft last van taa wanneer zijn vrouw met andere mannen praat.,1,2.73381304344,67,1,FamiliarNoFit,6,TRUE,3,3,TRUE,FALSE
3,3,ndege,S96,retrieval,"Dat de koningin hem feliciteerde, vond hij een bijzondere ndege.",1,3.98391478626,68,3,FamiliarNoFit,6,TRUE,3,3,TRUE,FALSE
3,3,wingu,S17,retrieval,Uit de schoorsteen komt een dikke zwarte wingu.,5,4.592429502,69,1,UnfamiliarFit,5,TRUE,2,2,FALSE,TRUE
3,3,mchezo,S89,context,Ze doen graag een mchezo waarbij een van de kinderen zijn vrienden moet vangen.,6,8.30956892948,70,1,FamiliarFit,6,TRUE,3,3,TRUE,TRUE
3,3,likizo,S35,retrieval,Ik heb de likizo met je spullen op de zolder gezet.,1,2.87548648603,71,2,FamiliarNoFit,6,TRUE,3,3,TRUE,FALSE
3,3,tunda,S66,retrieval,Tunda is erg gezond. Het bevat veel vitamines.,6,8.20121525452,72,1,UnfamiliarFit,6,TRUE,3,3,FALSE,TRUE
3,3,jibini,S92,retrieval,Zijn jibini heeft twee lekke banden.,1,2.59210908495,73,2,FamiliarNoFit,6,TRUE,3,3,TRUE,FALSE
3,3,adhama,S4,retrieval,In de speeltuin staat een adhama.,1,4.47570753219,74,1,UnfamiliarNoFit,6,TRUE,3,3,FALSE,FALSE
